amount,due_date,paid_date,status,tenant_profile_id,suite_id
1200,2025-03-01,2025-03-05,PAID,1,101
1500,2025-04-01,,DUE,2,102
1000,2025-05-01,2025-05-03,PAID,3,103
1000,2025-05-30,,DUE,4,104
1500,2025-06-29,,DUE,5,105
1500,2025-07-29,2025-08-08,PAID,6,106
1500,2025-08-28,2025-09-01,PAID,7,107
1200,2025-09-27,,DUE,8,108
1500,2025-10-27,2025-11-01,PAID,9,109
1500,2025-11-26,,DUE,10,110
1500,2025-12-26,,DUE,11,111
1200,2026-01-25,,DUE,12,112
1200,2026-02-24,2026-03-04,PAID,13,113
1200,2026-03-26,,DUE,14,114
1000,2026-04-25,,DUE,15,115
1000,2026-05-25,2026-05-29,PAID,16,116
1200,2026-06-24,,DUE,17,117
1000,2026-07-24,2026-07-31,PAID,18,118
1200,2026-08-23,,DUE,19,119
1200,2026-09-22,,DUE,20,120
1000,2026-10-22,2026-10-29,PAID,21,121
1200,2026-11-21,2026-11-25,PAID,22,122
1000,2026-12-21,,DUE,23,123
1000,2027-01-20,,DUE,24,124
1000,2027-02-19,,DUE,25,125
1000,2027-03-21,2027-03-26,PAID,26,126
1000,2027-04-20,2027-04-24,PAID,27,127
1200,2027-05-20,2027-05-23,PAID,28,128
1200,2027-06-19,,DUE,29,129
1200,2027-07-19,,DUE,30,130
1200,2027-08-18,2027-08-19,PAID,31,131
1200,2027-09-17,,DUE,32,132
1000,2027-10-17,,DUE,33,133
1500,2027-11-16,,DUE,34,134
1000,2027-12-16,,DUE,35,135
1500,2028-01-15,2028-01-17,PAID,36,136
1500,2028-02-14,,DUE,37,137
1500,2028-03-15,,DUE,38,138
1500,2028-04-14,2028-04-21,PAID,39,139
1200,2028-05-14,2028-05-20,PAID,40,140
1000,2028-06-13,,DUE,41,141
1000,2028-07-13,,DUE,42,142
1500,2028-08-12,,DUE,43,143
1200,2028-09-11,,DUE,44,144
1500,2028-10-11,,DUE,45,145
1500,2028-11-10,,DUE,46,146
1500,2028-12-10,2028-12-20,PAID,47,147
1500,2029-01-09,,DUE,48,148
1000,2029-02-08,,DUE,49,149
1200,2029-03-10,2029-03-17,PAID,50,150
1500,2029-04-09,2029-04-14,PAID,51,151
1500,2029-05-09,,DUE,52,152
1200,2029-06-08,2029-06-18,PAID,53,153
1500,2029-07-08,,DUE,54,154
1000,2029-08-07,,DUE,55,155
1200,2029-09-06,,DUE,56,156
1500,2029-10-06,2029-10-12,PAID,57,157
1000,2029-11-05,2029-11-15,PAID,58,158
1000,2029-12-05,,DUE,59,159
1500,2030-01-04,,DUE,60,160
1000,2030-02-03,,DUE,61,161
1200,2030-03-05,,DUE,62,162
1200,2030-04-04,2030-04-06,PAID,63,163
1500,2030-05-04,,DUE,64,164
1000,2030-06-03,2030-06-05,PAID,65,165
1200,2030-07-03,2030-07-07,PAID,66,166
1500,2030-08-02,,DUE,67,167
1200,2030-09-01,2030-09-05,PAID,68,168
1000,2030-10-01,2030-10-09,PAID,69,169
1500,2030-10-31,2030-11-01,PAID,70,170
1500,2030-11-30,,DUE,71,171
1000,2030-12-30,,DUE,72,172
1000,2031-01-29,,DUE,73,173
1500,2031-02-28,,DUE,74,174
1500,2031-03-30,,DUE,75,175
1200,2031-04-29,2031-05-04,PAID,76,176
1200,2031-05-29,2031-06-06,PAID,77,177
1000,2031-06-28,,DUE,78,178
1200,2031-07-28,2031-08-06,PAID,79,179
1000,2031-08-27,2031-09-03,PAID,80,180
1200,2031-09-26,,DUE,81,181
1000,2031-10-26,2031-11-03,PAID,82,182
1000,2031-11-25,2031-11-28,PAID,83,183
1500,2031-12-25,,DUE,84,184
1500,2032-01-24,2032-02-02,PAID,85,185
1000,2032-02-23,2032-03-04,PAID,86,186
1500,2032-03-24,2032-03-25,PAID,87,187
1000,2032-04-23,,DUE,88,188
1500,2032-05-23,,DUE,89,189
1200,2032-06-22,,DUE,90,190
1200,2032-07-22,2032-07-26,PAID,91,191
1500,2032-08-21,,DUE,92,192
1000,2032-09-20,,DUE,93,193
1500,2032-10-20,,DUE,94,194
1500,2032-11-19,,DUE,95,195
1000,2032-12-19,,DUE,96,196
1200,2033-01-18,2033-01-26,PAID,97,197
1500,2033-02-17,,DUE,98,198
1200,2033-03-19,2033-03-25,PAID,99,199
1000,2033-04-18,,DUE,100,200
1500,2033-05-18,,DUE,101,201
1000,2033-06-17,2033-06-26,PAID,102,202
1000,2033-07-17,2033-07-21,PAID,103,203
1200,2033-08-16,2033-08-23,PAID,104,204
1500,2033-09-15,2033-09-25,PAID,105,205
1200,2033-10-15,,DUE,106,206
1000,2033-11-14,2033-11-22,PAID,107,207
1000,2033-12-14,,DUE,108,208
1200,2034-01-13,,DUE,109,209
1000,2034-02-12,,DUE,110,210
1200,2034-03-14,,DUE,111,211
1200,2034-04-13,2034-04-22,PAID,112,212
1000,2034-05-13,,DUE,113,213
1500,2034-06-12,,DUE,114,214
1500,2034-07-12,2034-07-16,PAID,115,215
1000,2034-08-11,2034-08-18,PAID,116,216
1500,2034-09-10,,DUE,117,217
1200,2034-10-10,,DUE,118,218
1500,2034-11-09,,DUE,119,219
1500,2034-12-09,2034-12-18,PAID,120,220
1000,2035-01-08,2035-01-14,PAID,121,221
1500,2035-02-07,2035-02-09,PAID,122,222
1200,2035-03-09,2035-03-19,PAID,123,223
1000,2035-04-08,2035-04-14,PAID,124,224
1200,2035-05-08,,DUE,125,225
1500,2035-06-07,,DUE,126,226
1000,2035-07-07,,DUE,127,227
1200,2035-08-06,2035-08-16,PAID,128,228
1000,2035-09-05,2035-09-06,PAID,129,229
1000,2035-10-05,2035-10-09,PAID,130,230
1500,2035-11-04,2035-11-09,PAID,131,231
1200,2035-12-04,,DUE,132,232
1200,2036-01-03,,DUE,133,233
1200,2036-02-02,,DUE,134,234
1500,2036-03-03,,DUE,135,235
1000,2036-04-02,2036-04-04,PAID,136,236
1500,2036-05-02,2036-05-06,PAID,137,237
1200,2036-06-01,,DUE,138,238
1200,2036-07-01,,DUE,139,239
1500,2036-07-31,,DUE,140,240
1000,2036-08-30,2036-09-05,PAID,141,241
1500,2036-09-29,,DUE,142,242
1000,2036-10-29,,DUE,143,243
1000,2036-11-28,2036-11-30,PAID,144,244
1000,2036-12-28,2037-01-03,PAID,145,245
1200,2037-01-27,2037-02-03,PAID,146,246
1500,2037-02-26,2037-02-28,PAID,147,247
1500,2037-03-28,,DUE,148,248
1500,2037-04-27,2037-05-03,PAID,149,249
1000,2037-05-27,,DUE,150,250
1500,2037-06-26,,DUE,151,251
1200,2037-07-26,,DUE,152,252
1200,2037-08-25,,DUE,153,253
1200,2037-09-24,,DUE,154,254
1500,2037-10-24,,DUE,155,255
1000,2037-11-23,,DUE,156,256
1200,2037-12-23,,DUE,157,257
